Date Created,Number of Likes,Tweet,Sentiment Score,Sentiment
2025-04-17T05:02:36.000Z,0,"Karnataka Caste Census : It's time for karnataka to move politics &amp; power beyond dominant fuedal caste groups. 

#karnatakaCasteCensus #SocialJustice",0.0,Neutral
2025-04-17T05:01:01.000Z,4,Karnataka Caste Census is simply a Rs 160 Crore scam. I don't see a single person saying anyone has come to their house to make a survey. It is a deliberately made up number to suppress the community that Siddaramaiah hates and boost up numbers of others that support him.,-0.2263,Negative
2025-04-17T04:59:43.000Z,0,"Dear @socialepfo 
Its been many days since claim is on sent to field office.grievance also raised.pls settle its for emergency 
101207680114
@epfokrpuram @LabourMinistry @mansukhmandviya @narendramodi @PIB_India @RahulGandhi @siddaramaiah",0.0,Neutral
2025-04-17T04:35:42.000Z,0,"I am not going against to our parents desires. Hence unnecessary nuisances

What to do?

A last warnings to looters.

The honesty and hard work is very important to us.

Loss making and looting activities are not fair enough.

@siddaramaiah",-0.1454,Negative
2025-04-17T04:05:08.000Z,1,"17% Pareshan 

Caste Census walo will vouch fr this too",0.0,Neutral
2025-04-17T03:29:12.000Z,0,"Indian National Congress on X, boasting 'social justice' at Ahmedabad meet while ED chargesheets Sonia &amp; Rahul Gandhi for ₹661cr National Herald scam. Party pushes caste census, but can’t explain why their ‘freedom struggle’ paper turned into a ₹2000cr property grab.",0.1779,Positive
2025-04-17T03:12:48.000Z,0,"Hello Siddram what is the use of caste census, instead find the weaker sections poors who need financial aid irrespective of any caste , do not do vote politics, do not behave like a mad.",-0.3361,Negative
2025-04-17T02:59:28.000Z,2,"1/ The state of KA has seen Lingayat v Vokkaliga in the 60s &amp; 70s 
Later in 80s and 90s - Vokkaliga v Lingayat v Brahmin 

Now, perhaps for the first time it’s now witnessing Lingayat + Vokkaliga v Ahinda as a result of the unscientific caste census tabled by Siddaramaiah Govt🧵",0.0,Neutral
2025-04-17T02:54:55.000Z,0,"(1/2) Dear HINDU'S Don't GET Fooled By Reservations Caste Census Etc These Are Ploy To Keep U DIVIDED &amp; POCKET ""M"" VOTES In Consolidation Tk Capture Power. To Rahul Akhilesh Stalin  DIDI Etc, Power Is Their Life, They Can't Survive Without Power,",0.5837,Positive
2025-04-17T02:26:31.000Z,2,The caste census is designed to be rejected by everyone and to be never implemented. Whoever opposes will get into bad books of his redefined vote bank that will be consolidated by this. He is the most cunning and smartest politician we’ve had and the worst to sit in that chair.,-0.7675,Negative
